FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_SelectionMode
fish01,67.49,26,1.3,20.0,20.0,20.44721832429451,15.773568421598622,12.933333333333334,276.5453166477057,64.51969399374543,3470,9883,455.9229891483824,266.85992835892563,792.1829175073079,20.80835491677989,0.36113659248538,within
fish01,67.49,252,12.6,20.0,20.0,22.005101625193134,15.384097596373964,40.4,272.6772847933257,66.1085533953549,3609,8987,465.4217836303522,262.7039583128188,800.3057419431709,20.80835491677989,1.1967467084132437,within
fish01,67.49,267,13.35,20.0,20.0,21.42089538735615,16.552510072047937,14.266666666666666,290.2540766021994,66.42588861525456,3373,10018,461.9777211543141,266.389410785834,795.8271319401481,20.80835491677989,0.6125404705762598,within
fish01,67.49,337,16.85,20.0,20.0,21.841582534559556,12.32204250151,40.4,216.0978384527872,59.042065362702914,4661,16806,459.23379308441525,264.28887044142624,816.7426635258415,20.80835491677989,1.0332276177796658,within
fish01,67.49,350,17.5,20.0,20.0,20.25248291168218,12.657801819801362,60.4,215.01706484641636,58.37367053117375,4925,16403,469.1632114149306,262.6023274692854,830.2655388842161,20.80835491677989,0.5558720050977115,within
fish01,67.49,360,18.0,20.0,20.0,20.18911426835072,13.386122246964794,60.4,209.82176715965107,57.05214364719295,4906,16834,464.9569783039611,260.4424772088687,823.5194555128297,20.80835491677989,0.6192406484291695,within
fish01,67.49,655,32.75,20.0,20.0,22.14419558930583,10.246497318267547,24.133333333333333,198.74857792946528,58.263632058342175,4225,23678,471.6148132254708,242.95963531070288,799.0744485361736,20.80835491677989,1.33584067252594,within
fish01,67.49,1098,54.9,20.0,20.0,22.01915944436228,8.944583846168713,0.6666666666666666,153.26128175957524,53.49341241666356,2789,122,472.7356419026692,269.65468705902094,798.1703289616901,20.80835491677989,1.2108045275823898,within
fish01,67.49,1398,69.9,20.0,20.0,19.473541261232867,16.941980897272593,11.333333333333334,299.62078119074704,66.07099925261508,3795,6720,463.06950954542754,268.7864778238509,807.7559873692784,20.80835491677989,1.3348136555470234,within
fish01,67.49,1414,70.7,20.0,20.0,19.473541261232867,16.163039246823278,11.866666666666667,286.8790291998483,64.97077902061783,3775,7252,459.9603080105063,270.08130204260084,805.5416100531072,20.80835491677989,1.3348136555470234,within
